Dropped,Sector,Parameter,Coefficient,Std Error,t-value,P-value,R-squared,Adj R-squared,F-statistic,Prob (F-statistic),RMSE
Utilities_w,Communication Services_w,portfolio_value_ln,1.0995391082756245,0.27789536579117474,3.9566658664681595,7.600312200788216e-05,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Consumer Cyclical_w,const,23.814561237788332,9.029353186644844,2.6374603745716834,0.008352938380541047,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Basic Materials_lr,0.013833947610910315,0.017152993271383397,0.8065034126719856,0.4199526410755785,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Communication Services_lr,-0.0044701071718042246,0.011705716016470068,-0.3818738781561705,0.7025549167987778,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Consumer Cyclical_lr,-0.028280187272372803,0.016784339792837943,-1.6849150828345516,0.09200495613503001,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Consumer Defensive_lr,-0.0718681918384048,0.03823623968268401,-1.8795831502999925,0.06016491143759032,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Energy_lr,-0.004647150844211594,0.009933084823806407,-0.4678456820457094,0.6398949497197324,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Financial Services_lr,0.028980223131388587,0.022519538030378514,1.286892435017748,0.1981317824240273,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Healthcare_lr,-0.02046825037772799,0.022980219783484503,-0.8906899311919627,0.373095537951745,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Industrials_lr,0.015717040176393603,0.03078166065345379,0.510597539013221,0.6096328994736102,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Real Estate_lr,0.0009489668117435499,0.01501619345004113,0.0631962297835841,0.9496102469773466,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Technology_lr,0.015877064831320755,0.0204509323452082,0.7763491934410934,0.43754283439734165,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,Utilities_lr,0.013371527527882392,0.0205041223314919,0.6521384974057296,0.5143118311673893,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Cyclical_w,portfolio_value_ln,-0.8633948619936438,0.350892976002312,-2.460564676529618,0.013871856683997388,0.31503081869764094,0.20965094465112422,1.6388772997301757,0.0979711326132276,1.087496585615468
Utilities_w,Consumer Defensive_w,const,408.23112276538325,17.582193206411564,23.218441406759013,2.9654558085059596e-119,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Basic Materials_lr,-0.05316783153978677,0.06757058894440837,-0.7868487217645679,0.4313704282979397,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Communication Services_lr,-0.0411970864853633,0.06191328636015277,-0.6653997696991519,0.5057948322077019,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Consumer Cyclical_lr,-0.045994837173776226,0.08025466044799107,-0.5731111055361467,0.566569468284797,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Consumer Defensive_lr,0.25845666620735286,0.12131231259845807,2.130506464441417,0.033129822685662544,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Energy_lr,0.05126900947278472,0.04200311653220065,1.2206001293613677,0.22223745734341704,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Financial Services_lr,-0.128810189041986,0.0862917066815008,-1.492729649181922,0.13550796901936824,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Healthcare_lr,-0.1906178575398712,0.12215225311243007,-1.5604939956729635,0.11864318777904233,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Industrials_lr,0.12315811528357934,0.09608545317612166,1.2817560953564358,0.19992822012660505,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Real Estate_lr,0.04063838631961186,0.05669538957252193,0.7167846737807358,0.4735069698889455,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Technology_lr,0.03868272513021387,0.08149325437212886,0.4746739521970002,0.6350193866569644,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,Utilities_lr,-0.04545945607334853,0.05624367040063931,-0.8082590582998617,0.41894146605501903,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Consumer Defensive_w,portfolio_value_ln,-14.926107520802873,0.7004400303617309,-21.30961520445159,9.245199136032746e-101,0.8967741603957734,0.8808932619951232,112.17802872574343,5.246270309137424e-44,4.093467505328597
Utilities_w,Energy_w,const,-47.42517377657792,20.844000877799967,-2.275243320829467,0.022891337441190505,0.3441087063151598,0.24320235344056906,2.78663697523346,0.0032800451881930077,2.895504071614868
Utilities_w,Energy_w,Basic Materials_lr,-0.1381574261207133,0.05273390741656946,-2.619897384605773,0.008795622913148811,0.3441087063151598,0.24320235344056906,2.78663697523346,0.0032800451881930077,2.895504071614868
Utilities_w,Energy_w,Communication Services_lr,-0.011118246220551211,0.04385605515683527,-0.25351678760870844,0.7998688901604771,0.3441087063151598,0.24320235344056906,2.78663697523346,0.0032800451881930077,2.895504071614868
Utilities_w,Energy_w,Consumer Cyclical_lr,-0.024979995649679093,0.062309201455856375,-0.40090380017751376,0.6884909519483846,0.3441087063151598,0.24320235344056906,2.78663697523346,0.0032800451881930077,2.895504071614868
Utilities_w,Energy_w,Consumer Defensive_lr,0.12773171024654623,0.08493211308130633,1.5039271438386024,0.13260012703038399,0.3441087063151598,0.24320235344056906,2.78663697523346,0.0032800451881930077,2.895504071614868
Utilities_w,Energy_w,Energy_lr,0.035810530984114915,0.0280974815848915,1.27451034627142,0.20248260829909004,0.3441087063151598,0.24320235344056906,2.78663697523346,0.0032800451881930077,2.895504071614868
Utilities_w,Energy_w,Financial Services_lr,0.015406600416476453,0.05269970591545486,0.2923469903455054,0.770021334140984,0.3441087063151598,0.24320235344056906,2.78663697523346,0.0032800451881930077,2.895504071614868
Utilities_w,Energy_w,Healthcare_lr,-0.11479267176744555,0.06170585914997799,-1.860320451716561,0.06284020171013385,0.3441087063151598,0.24320235344056906,2.78663697523346,0.0032800451881930077,2.895504071614868
